,index,smiles,ligand,docking_score_min
780,40644,O=C(N1CC(CC2=CN(N=N2)C2=CC=CC3=CC=CC=C23)C1)C1=CC(=O)C2=CC=CC=C2N1,m_276010____17282136____17243994____17280976_S0_T1,-11.9
781,84916,O=C1N(CC2=CC=C(C=C2)C2=NC(=NO2)C2=CSC=N2)C(=O)C2=CC=CC=C12,m_270196____9447604____8775760_S0_T0,-11.7
782,18007,CC1=CC2=CC=CC=C2N=C1NNC(=O)C1=C2N=C3C(F)=CC=CC3=C(O)C2=CC=C1,s_527____8331918____9105042_S0_T1,-12.1
783,35680,CC1=CC=C(C(=O)NC2=NC=CC(=N2)N2N=NC3=CC=CC=C23)C2=CC=CC=C12,s_11____10903222____10968748_S0_T0,-11.9
784,71,FC1=CC=C2N=C(NC(=O)C3=CC=C(O3)C3=CC=CC4=CC=CC=C34)NC2=C1,s_22____9434664____16784258_S0_T1,-13.2
785,14328,CC1=C(C2=NN=N[N-]2)C(=O)N=C([O-])N1NC(=O)C1=CN=NC2=CC=CC=C12,m_280130____20813382____17871110_S0_T5,-12.2
786,49180,CC1=C(C=CC2=CC=CC=C12)C(O)=NN1C=C(C2=N[N-]N=N2)C(=O)NC1=O,m_280130____20880822____17910988_S0_T0,-11.9
787,2888,CC1=CC2=NC=C(C=C2C=C1)C(=O)OC1=CC2=C(C=C1Cl)C1=CC=CC=C1C(=O)O2,s_276436____17785730____14721144_S0_T0,-12.5
788,98190,O=C(CC1=NNC(=O)C2=CC=CC=C12)NC1=NC2=CC=CC=C2C(=O)N1,s_11____2990918____54980_S0_T3,-11.7
789,88072,[O-]C1=CN(CC2=NC=CC=C2F)C(=O)N1CC1=NN=NN1C1=CC=CC2=CC=CC=C12,m_277130____17597996____15470156____15475078_S0_T0,-11.7
790,31312,OC1=C2C=CC=CC2=C(N=N1)C1=NC(=NO1)C1(CC1)C1=CC=CC=C1,s_265764____16608656____4558072_S0_T0,-12.0
791,60068,CC1=C2C=C(C=CN2C=[NH+]1)C1=CC=C2CC3=CC=CC=C3C2=C1,m_271570____13259192____21743476_S0_T0,-11.8
792,92811,NC1=NC2=CC=CC=C2C(=C1)C1=NOC(=N1)C1=CC2=CC=CC=C2C=C1,m_270196____13259904____8771710_S0_T0,-11.7
793,92285,CN1C(=O)OC2=CC(NC(=O)C3=CC=CC=C3CC3=NC4=CC=CC=C4C(=O)N3)=CC=C12,s_22____3124680____308486_S0_T1,-11.7
794,94924,O=C1N=C(NC2=C1N=CN2)SCC1=NN=C(O1)C1=CC=CC2=CC=CC=C12,s_7____20871650____12427744_S0_T2,-11.7
795,85293,O=C(NN=C1NC(=O)C2=CNNC2=N1)C1=CC2=C(NC3=C2C=CC=C3)C=N1,m_22____21212366____20065300_S0_T5,-11.7
